name,author,types,popularity,
国师大人，你节,泛次元文化,古风,3.3亿,
我有百万技能点,沉乡,系统,3.5亿,
我家徒弟又挂了,阅文漫画,古风,1.1亿,
皇帝的伴侣,kakao君,大女主,2.6亿,
开局就要打双排,仟绘动漫,后宫,267.6万,
总裁追妻火葬场,乐匠文化,总裁,2.5亿,
我的男人是个偏,iCiyuan动漫,美食,3.4亿,
空速星痕,神漫君,战斗,9668.6万,
妈咪快跑：爹地,传奇漫业,总裁,10.3亿,
我在异界养男神,沉乡,古风,5亿,
魔宗真的不好混,墨泉,战斗,3830.2万,
沉沦,岛上Project,推理,9.3亿,
超级天才狂少,漫巢文化 x VTA x 谷一,职场,7435.6万,
兽黑狂妃,iCiyuan动漫 x 仁山动漫,古风,6.7亿,
叫我复仇女神,漫糖出品,大女主,8109万,
我的师傅是神仙,二周目漫画,后宫,11.3亿,
暴君配恶女,C&C Revolution Inc.,穿越,2.9亿,
公主是男人,缘漫动漫-缘娘,穿越,8.8亿,
星海荣耀,白骁,复仇,4.7亿,
极道宗师,刀瑞斯,重生,9.8亿,
灵契,瓶子,灵异,61.1亿,
异世邪君,VV,古风,4.2亿,
前无古人,心次元联萌,古风,5.4亿,
我的师父是萝莉,沉乡,系统,244.2万,
一念永恒,神漫君,战斗,6216.9万,
甜甜的味道是红,译水,总裁,5.4亿,
我成了反派大佬,大魔王漫画,重生,7.8亿,
礼崩乐坏之夜,有狐-宋只鱼,古风,4.5亿,
总裁爹地超给力,沉乡,职场,5.6亿,
今天也要努力当,阅文漫画 x 有马文化,穿越,2亿,
快把我哥带走,幽.灵,战斗,7943.6万,
闪婚娇妻,札雅工作室,总裁,20.1亿,
金主,布布星球 x TANDAD！,总裁,11.7亿,
妖者为王,iCiyuan动漫,穿越,17.1亿,
我不可能再陪仙,优时文化,古风,6656.6万,
天界代购店,吃饱饭工厂,后宫,47.9亿,
皇后必须我来当,漫美映画,大女主,5.7亿,
猫妖的诱惑,青玉Gaffey,重生,283.2亿,
狼总裁的兔小姐,阿柯文化,总裁,7311.6万,
盗墓笔记之秦岭,风行漫画 x 南派三叔,战斗,1.2亿,
王者萌萌假日,二娃,脑洞,16.6亿,
凤于九天,岛上Project,古风,17.1亿,
以婚之名,声漫文化,大女主,2.3亿,
腹黑邪王宠入骨,阿柯文化,古风,16.3亿,
外科皇后,有马文化,古风,977.4万,
重生地球仙尊,大行道动漫,重生,3.3亿,
无罪谋杀,风人动漫,推理,929.5万,
我在末世有套房,明漫,战斗,23亿,
我的女友是恶女,阅文漫画,后宫,1.1亿,
调教北极熊,布布星球,职场,17.5亿,
吾本是猫,潮看文创,妖怪,2405.4万,
妖怪名单,糖人家 x 刘OK,后宫,267.7亿,
末日边境·王者,王首丹DAI,穿越,12.4亿,
恋上一屋吸血鬼,绿酱/观海之鱼,妖怪,4.6亿,
废柴重生之我要,多蕴文化,古风,6.4亿,
君令天下,aki,妖怪,18.2亿,
灵剑尊,iCiyuan动漫 x 留下,重生,16.9亿,
